"lang_id","agent_id"
"2","539"
"2","789"
"2","812"
"2","950"
"3","145"
"3","199"
"3","336"
"3","401"
"3","528"
"3","579"
"3","706"
"3","781"
"3","998"
"4","55"
"4","256"
"4","274"
"4","511"
"4","774"
"4","950"
"4","998"
"4","1010"
"5","256"
"5","706"
"5","789"
"5","1025"
"6","20"
"6","55"
"6","83"
"6","239"
"6","274"
"6","386"
"6","453"
"6","774"
"7","55"
"7","83"
"7","101"
"7","183"
"7","398"
"7","528"
"7","539"
"7","706"
"7","781"
"7","950"
"8","83"
"8","301"
"8","336"
"8","353"
"8","386"
"8","709"
"9","55"
"9","85"
"9","183"
"9","1025"
"10","85"
"10","199"
"10","239"
"10","429"
"10","453"
"10","1097"
"11","3"
"11","83"
"11","199"
"11","226"
"11","353"
"11","429"
"11","601"
"11","774"
"12","239"
"12","258"
"12","353"
"12","386"
"12","398"
"12","539"
"12","760"
"13","84"
"13","369"
"13","386"
"13","498"
"13","706"
"13","920"
"13","1097"
"14","83"
"14","183"
"14","256"
"14","274"
"14","453"
"14","528"
"14","789"
"14","920"
"15","84"
"15","145"
"15","226"
"15","256"
"15","258"
"15","498"
"15","709"
"15","789"
"15","950"
"15","1010"
"15","1097"
"16","101"
"16","145"
"16","429"
"16","511"
"16","528"
"16","706"
"16","998"
"16","1010"
"16","1097"
"17","20"
"17","55"
"17","239"
"17","336"
"17","429"
"17","511"
"17","539"
"17","950"
"17","998"
"17","1025"
"18","3"
"18","239"
"18","353"
"18","498"
"18","591"
"18","760"
"18","836"
"19","84"
"19","183"
"19","386"
"19","539"
"19","601"
"19","760"
"19","998"
"19","1010"
"19","1025"
"19","1097"
"20","20"
"20","84"
"20","85"
"20","353"
"20","429"
"20","511"
"20","601"
"20","760"
